Occode	Level1	Level2	Level3
483	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"SALT, DRUGS, AND OTHER CHEMICALS AND COMPOUNDS"	DRYSALTERS
484	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	OIL MILLERS OIL CAKE MAKERS
485	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	MINERAL OIL WORKER
486	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	TALLOW CHANDLERS CANDLE AND GREASE MANUFACTURE
487	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	SOAP BOILERS AND MAKERS
488	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	MANURE MANUFACTURE BONE BOILERS
489	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	INDIA RUBBER AND GUTTA PERCHA MAKERS
490	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	WATERPROOF GOODS MAKERS
491	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	GLUE SIZE AND GELATINE MANUFACTURE
492	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	OTHER WORKERS IN CHEMICALS ETC
493	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	GUM MANUFACTURE
494	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	RESIN MANUFACTURE
495	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	SEALING WAX MAKER
496	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	VARNISH MAKER
497	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	OIL CAKE DEALERS
498	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	OIL AND COLOURMEN
499	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	SOAP DEALERS
500	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	OTHER DEALERS IN CHEMICALS ETC
501	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	FLOORCLOTH AND OILCLOTH DEALERS
502	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	INDIA RUBBER AND GUTTA PERCHA DEALERS
503	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	WATERPROOF GOODS DEALERS
504	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"OIL, GREASE, SOAP, RESIN, ETC"	SHELLAC DEALERS
505	"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"	SKINS AND LEATHER	SKINNERS FURRIERS
506	"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"	SKINS AND LEATHER	TANNERS FELLMONGERS
507	"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"	SKINS AND LEATHER	CURRIERS
508	"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"	SKINS AND LEATHER	LEATHER GOODS MANUFACTURE (BELTS ETC)
509	"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"	SKINS AND LEATHER	"PARCHMENT, VELLUM - MAKER"
510	"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"	SADDLERY AND HARNESS	SADDLE HARNESS AND WHIP MAKERS
511	"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"	HAIR AND FEATHERS	HAIR AND BRISTLE WORKERS
512	"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"	HAIR AND FEATHERS	BRUSH AND BROOM MAKERS
513	"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"	HAIR AND FEATHERS	HAIR PLUME MAKERS
514	"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"	HAIR AND FEATHERS	QUILL AND FEATHERS DRESSERS
515	"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"	DEALERS	DEALERS IN SKINS
516	"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"	DEALERS	DEALERS IN LEATHER
517	"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"	DEALERS	QUILL AND FEATHERS DEALERS
518	"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"	DEALERS	HAIR AND BRISTLE DEALERS
519	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PAPER AND STATIONERY	PAPER MANUFACTURE
520	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PAPER AND STATIONERY	PAPER STAINER
521	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PAPER AND STATIONERY	PENCIL MAKERS
522	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PAPER AND STATIONERY	"CARD, STATIONERY MAKERS"
523	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PAPER AND STATIONERY	VALENTINE MAKER
524	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PAPER AND STATIONERY	ENVELOPE MANUFACTURE
525	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PAPER AND STATIONERY	PAPER BAG MAKERS
526	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PAPER AND STATIONERY	CARDBOARD BOX MAKER
527	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PAPER AND STATIONERY	TICKET WRITERS
528	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PAPER AND STATIONERY	OTHER PAPER WORKERS
529	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PAPER AND STATIONERY	STATIONERS (ALL ASSUMED RETAIL/LAW STATIONERS)
530	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PAPER AND STATIONERY	PAPER DEALERS
531	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	HAND COMPOSITORS (DEFAULT)
532	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	MACHINE COMPOSITORS
533	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	PRINTING MACHINE MINDERS
534	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	"STEREOTYPERS, ELECTROTYPERS"
535	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	MUSIC PRINTERS
536	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	PRINTERS SO DESCRIBED
537	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	OTHERS IN PRINTING
538	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	PAPER RULER
539	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	LITHOGRAPHERS
540	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	COPPER PLATE PRINTERS
541	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	MAP MAKERS
542	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	BOOKBINDERS
543	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	"PUBLISHERS, BOOKSELLERS AND LIBRARIANS (EXCEPT PUBLIC LIBRARIANS)"
544	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	"MUSIC PUBLISHERS, MUSIC SELLERS"
545	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	"MAP PUBLISHERS, MAP & PRINT SELLERS"
546	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	NEWSPAPER PUBLISHERS
547	"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"	PRINTS AND BOOKS	NEWSPAPER AGENTS
548	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	COTTON	COTTON & COTTON GOODS MANUFACTURE CARD BLOWING ROOM PROCESSES
549	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	COTTON	COTTON & COTTON GOODS MANUFACTURE SPINNING PROCESSES
550	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	COTTON	COTTON & COTTON GOODS MANUFACTURE WINDING WARPING PROCESSES
551	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	COTTON	COTTON & COTTON GOODS MANUFACTURE WEAVING PROCESSES
552	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	COTTON	COTTON & COTTON GOODS MANUFACTURE OTHER PROCESSES
553	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	COTTON	SHEETING MANUFACTURE
554	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	COTTON	MUSLIN EMBROIDERER
555	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	COTTON	COTTON & COTTON GOODS MANUFACTURE UNDEFINED
556	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	COTTON	FUSTIAN MANUFACTURE
557	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	WOOLLEN CLOTH MANUFACTURE SORTING
558	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	WOOLLEN CLOTH MANUFACTURE CARDING COMBING
559	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	WOOL SPINNERS WOOL PIECERS
560	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	WORSTED AND STUFF MANUFACTURE SPINNERS PIECERS
561	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	WOOL WINDERS WOOL WARPERS WOOL WEAVERS
562	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	WORSTED AND STUFF MANUFACTURE WINDERS WARPERS WEAVERS
563	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	FLANNEL MANUFACTURE (VARIOUS)
564	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	BLANKET MANUFACTURE (VARIOUS)
565	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	OTHER WEAVING PROCESSES (WOOL)
566	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	WOOLLEN CLOTH MANUFACTURE OTHER PROCESSES
567	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	TARTAN AND WINCEY MANUFACTURE
568	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	WORSTED AND STUFF MANUFACTURE OTHER PROCESSES
569	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	KNITTER (WOOLEN ARTICLES)
570	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	CRIMPERS
571	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	WOOLLEN CLOTH MANUFACTURE UNDEFINED
572	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	WORSTED AND STUFF MANUFACTURE UNDEFINED
573	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	WOOL AND WORSTED	FULLER
574	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	SILK	SILK WORKERS - SPINNERS
575	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	SILK	CREPE GAUZE MANUFACTURE (VARIOUS)
576	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	SILK	SILK WORKERS - WEAVING PROCESSES
577	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	SILK	RIBBON MANUFACTURE
578	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	SILK	SILK WORKERS - OTHER PROCESSES
579	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	SILK	SILK WORKERS - UNDEFINED
580	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"FLAX, HEMP, AND OTHER FIBROUS MATERIALS"	FLAX LINEN AND DAMASK MANUFACTURE (VARIOUS)
581	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"FLAX, HEMP, AND OTHER FIBROUS MATERIALS"	HEMP MANUFACTURE (VARIOUS)
582	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"FLAX, HEMP, AND OTHER FIBROUS MATERIALS"	JUTE MANUFACTURE (VARIOUS)
583	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"FLAX, HEMP, AND OTHER FIBROUS MATERIALS"	COCOA FIBRE MANUFACTURE (VARIOUS)
584	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"FLAX, HEMP, AND OTHER FIBROUS MATERIALS"	"ROPE, TWINE, CORD - MAKERS"
585	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"FLAX, HEMP, AND OTHER FIBROUS MATERIALS"	MAT MANUFACTURE (VARIOUS)
586	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"FLAX, HEMP, AND OTHER FIBROUS MATERIALS"	NET MANUFACTURE (VARIOUS)
587	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"FLAX, HEMP, AND OTHER FIBROUS MATERIALS"	CANVAS AND SAILCLOTH MANUFACTURE (VARIOUS)
588	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"FLAX, HEMP, AND OTHER FIBROUS MATERIALS"	SACKING MANUFACTURE (VARIOUS)
589	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"FLAX, HEMP, AND OTHER FIBROUS MATERIALS"	TENT MAKER
590	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"FLAX, HEMP, AND OTHER FIBROUS MATERIALS"	OTHER FIBROUS MATERIALS MAKERS
591	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	THREAD MANUFACTURE (VARIOUS)
592	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	HOSIERY MANUFACTURE
593	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	LACE MANUFACTURE
594	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	ELASTIC WEB MAKERS
595	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	FELT MANUFACTURE (VARIOUS)
596	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	CARPET RUG MANUFACTURE (VARIOUS)
597	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	TRIMMING MAKERS
598	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	TAPE MANUFACTURE (VARIOUS)
599	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	FANCY GOODS TEXTILE MANUFACTURE (VARIOUS)
600	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	SHAWL MAKERS
601	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	KNITTER (UNDEFINED)
602	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	EMBROIDERERS
603	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	CURTAIN MAKERS
604	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	TAPESTRY MANUFACTURE
605	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	WEAVERS SUNDRY FABRICS
606	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	WEAVERS (UNDEFINED)
607	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	OTHER WORKERS SUNDRY FABRICS UNDEFINED
608	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	MIXED OR UNSPECIFIED MATERIALS	FACTORY HANDS (TEXTILE) UNDEFINED (VARIOUS)
609	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	WOOL WOOLLEN GOODS BLEACHERS
610	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	SILK BLEACHERS
611	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	COTTON & CALICO BLEACHERS
612	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	FLAX LINEN BLEACHERS
613	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	UNDEFINED TEXTILE BLEACHERS
614	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	WOOL WOOLLEN GOODS PRINTERS
615	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	SILK PRINTERS
616	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	COTTON & CALICO PRINTERS
617	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	UNDEFINED TEXTILE PRINTERS
618	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	WOOL WOOLLEN GOODS DYERS
619	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	SILK DYERS
620	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	COTTON & CALICO DYERS
621	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	FLAX LINEN DYERS
622	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	UNDEFINED TEXTILE DYERS
623	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	WOOL WOOLLEN GOODS FINISHERS
624	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	SILK FINISHERS
625	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	COTTON & CALICO FINISHERS
626	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	FLAX LINEN FINISHERS
627	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	"BLEACHING, PRINTING, DYEING, ETC"	UNDEFINED TEXTILE FINISHERS
628	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	DRAPERS LINEN DRAPERS MERCERS
629	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	COTTON PLANTER GROWER
630	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	WOOLSTAPLER WOOL DEALER BROKER
631	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	CLOTH WORSTED AND STUFF MERCHANTS DEALERS
632	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	YARN MERCHANT
633	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	WASTE MERCHANT
634	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	SILK MERCHANTS DEALERS
635	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	ROPE TWINE CORD - DEALERS
636	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	MAT SELLERS
637	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	OTHER FIBROUS MATERIALS DEALERS
638	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	COTTON & CALICO DEALERS
639	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	FLAX LINEN DEALERS
640	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	LACE DEALERS
641	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	FUSTIAN DEALERS
642	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	THREAD DEALERS
643	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	MANCHESTER GOODS WAREHOUSEMEN
644	PERSONS WORKING AND DEALING IN TEXTILE FABRICS	DEALERS	DEALERS SUNDRY FABRICS
645	PERSONS WORKING AND DEALING IN DRESS	DRESS	STRAW PLAIT MANUFACTURE
646	PERSONS WORKING AND DEALING IN DRESS	DRESS	STRAW HAT MANUFACTURE
647	PERSONS WORKING AND DEALING IN DRESS	DRESS	FELT HAT MANUFACTURE WOLLEN BONNET MANUFACTURE
648	PERSONS WORKING AND DEALING IN DRESS	DRESS	CLOTH HAT CAP MANUFACTURE
649	PERSONS WORKING AND DEALING IN DRESS	DRESS	HAT CAP (NOT CLOTH FELT STRAW) MANUFACTURE
650	PERSONS WORKING AND DEALING IN DRESS	DRESS	MILLINERS (NOT RETAIL - WORKSHOP/FACTORY)
651	PERSONS WORKING AND DEALING IN DRESS	DRESS	HATTERS
652	PERSONS WORKING AND DEALING IN DRESS	DRESS	MILLINERS (RETAIL)
653	PERSONS WORKING AND DEALING IN DRESS	DRESS	TAILORS (NOT MERCHANTS) - DEFAULT
654	PERSONS WORKING AND DEALING IN DRESS	DRESS	OTHERS CLOTHING MANUFACTURERS
655	PERSONS WORKING AND DEALING IN DRESS	DRESS	CLOTHIERS & OUTFITTERS (IE DEALERS AND MERCHANTS)
656	PERSONS WORKING AND DEALING IN DRESS	DRESS	CLOTHES DEALERS
657	PERSONS WORKING AND DEALING IN DRESS	DRESS	DRESSMAKERS
658	PERSONS WORKING AND DEALING IN DRESS	DRESS	STAY AND CORSET MAKERS
659	PERSONS WORKING AND DEALING IN DRESS	DRESS	SHIRTMAKERS AND SEAMSTRESSES
660	PERSONS WORKING AND DEALING IN DRESS	DRESS	BUTTON MAKERS
661	PERSONS WORKING AND DEALING IN DRESS	DRESS	GLOVE MANUFACTURE
662	PERSONS WORKING AND DEALING IN DRESS	DRESS	HOSIERS HABERDASHERS
663	PERSONS WORKING AND DEALING IN DRESS	DRESS	SHOE AND BOOT MAKERS (AND REPAIRERS)
664	PERSONS WORKING AND DEALING IN DRESS	DRESS	SLIPPER MAKERS
665	PERSONS WORKING AND DEALING IN DRESS	DRESS	"PATTEN, CLOG MAKERS"
666	PERSONS WORKING AND DEALING IN DRESS	DRESS	FOOTWEAR DEALERS
667	PERSONS WORKING AND DEALING IN DRESS	DRESS	ARTIFICIAL FLOWER MAKERS
668	PERSONS WORKING AND DEALING IN DRESS	DRESS	HAIRDRESSERS
669	PERSONS WORKING AND DEALING IN DRESS	DRESS	UMBRELLA PARASOL AND STICK MAKERS
670	PERSONS WORKING AND DEALING IN DRESS	DRESS	ACCOUTREMENT MAKERS
671	PERSONS WORKING AND DEALING IN DRESS	DRESS	GLOVE DEALERS
672	PERSONS WORKING AND DEALING IN DRESS	DRESS	BUTTON DEALERS
673	PERSONS WORKING AND DEALING IN DRESS	DRESS	UMBRELLA PARASOL AND STICK DEALERS
674	PERSONS WORKING AND DEALING IN DRESS	DRESS	OTHER DEALERS IN DRESS
675	PERSONS WORKING AND DEALING IN DRESS	DRESS	ARTIFICIAL FLOWER DEALERS
676	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	CREAMERY WORKERS
677	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	"COWKEEPERS, MILKSELLERS"
678	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	PROVISION CURERS
679	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	CHEESEMONGERS BUTTERMEN
680	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	PROVISION DEALERS
681	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	SLAUGHTERER
682	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	BUTCHERS AND MEAT SALESMEN
683	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	FISH CURERS
684	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	POULTERERS GAME DEALERS
685	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	FISHMONGERS
